epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.747,1.68281,2.1077,1.36073,0.90595,0.92191,0.96506,0.51996,1.55489,0.73501,1.33809,0.0033314,0.0033314,0.0033314
2,625.028,1.57334,0.87162,1.30518,0.93101,0.97216,0.97841,0.52033,1.58396,0.69453,1.36325,0.00659875,0.00659875,0.00659875
3,920.76,1.60824,0.91746,1.3374,0.93073,0.95393,0.97301,0.52044,1.54667,0.77566,1.37779,0.0098001,0.0098001,0.0098001
4,1216.22,1.61719,0.92207,1.36128,0.93904,0.95358,0.97612,0.53996,1.52063,0.72918,1.37009,0.009703,0.009703,0.009703
5,1510.66,1.58479,0.84902,1.33958,0.96018,0.96451,0.98178,0.55221,1.53103,0.66395,1.36691,0.009604,0.009604,0.009604
6,1805.65,1.56876,0.80598,1.33432,0.96686,0.97571,0.98642,0.5489,1.50516,0.66568,1.36139,0.009505,0.009505,0.009505
7,2100.57,1.53982,0.76217,1.31564,0.94722,0.97458,0.98328,0.5583,1.51305,0.63991,1.36076,0.009406,0.009406,0.009406
8,2395.47,1.53193,0.74629,1.30999,0.96635,0.97643,0.98543,0.56987,1.48604,0.59926,1.33327,0.009307,0.009307,0.009307
9,2690.42,1.52381,0.73288,1.30646,0.95899,0.9817,0.98744,0.55867,1.50639,0.61428,1.34753,0.009208,0.009208,0.009208
10,2987.26,1.49692,0.70932,1.30143,0.96499,0.97986,0.98712,0.57458,1.4841,0.59257,1.35054,0.009109,0.009109,0.009109
11,3285.5,1.48705,0.69616,1.29741,0.97004,0.98064,0.98972,0.58568,1.46084,0.59085,1.31939,0.00901,0.00901,0.00901
12,3583.34,1.48702,0.69209,1.28763,0.96396,0.98151,0.98808,0.5847,1.46091,0.5692,1.32189,0.008911,0.008911,0.008911
13,3881.64,1.47315,0.67448,1.27692,0.96894,0.97821,0.9861,0.58357,1.47107,0.57052,1.32887,0.008812,0.008812,0.008812
14,4179.93,1.46413,0.66639,1.27922,0.97775,0.977,0.98775,0.58586,1.46603,0.559,1.32596,0.008713,0.008713,0.008713
15,4478.4,1.45787,0.65495,1.27282,0.98029,0.97625,0.9887,0.58524,1.46309,0.54933,1.32869,0.008614,0.008614,0.008614
16,4777.36,1.44793,0.64483,1.26471,0.97641,0.97603,0.9896,0.59871,1.45146,0.54551,1.31132,0.008515,0.008515,0.008515
17,5103.15,1.44188,0.64625,1.26199,0.97375,0.97561,0.98845,0.60318,1.43751,0.54942,1.31978,0.008416,0.008416,0.008416
18,5563.8,1.45053,0.64205,1.2715,0.98037,0.97861,0.98956,0.59942,1.44246,0.53905,1.32029,0.008317,0.008317,0.008317
19,6020.99,1.4374,0.62563,1.25916,0.98133,0.97512,0.98902,0.60244,1.43974,0.53323,1.31235,0.008218,0.008218,0.008218
20,6469.97,1.43156,0.62511,1.2599,0.98006,0.98163,0.99027,0.5994,1.44182,0.53527,1.31372,0.008119,0.008119,0.008119
21,6861.68,1.42893,0.61747,1.25411,0.9746,0.98213,0.98721,0.60098,1.43119,0.51802,1.31023,0.00802,0.00802,0.00802
22,7254.13,1.41793,0.61318,1.24965,0.98464,0.9772,0.99074,0.60383,1.43322,0.50834,1.31637,0.007921,0.007921,0.007921
23,7592.39,1.41657,0.61118,1.24863,0.98385,0.98316,0.98978,0.6053,1.43038,0.51136,1.30929,0.007822,0.007822,0.007822
24,7885.47,1.41229,0.60587,1.2492,0.98003,0.97842,0.9912,0.6056,1.4279,0.51177,1.30549,0.007723,0.007723,0.007723
25,8180.79,1.41176,0.60595,1.24566,0.98983,0.97506,0.99096,0.60741,1.42445,0.50944,1.29805,0.007624,0.007624,0.007624
26,8477.49,1.40533,0.60047,1.24372,0.98584,0.97541,0.98931,0.61433,1.43423,0.5024,1.30501,0.007525,0.007525,0.007525
27,8774.13,1.40861,0.59758,1.24448,0.98242,0.98155,0.99068,0.61888,1.42667,0.49848,1.3017,0.007426,0.007426,0.007426
28,9068.62,1.40277,0.59316,1.23667,0.9827,0.9811,0.99065,0.61208,1.42707,0.5018,1.29996,0.007327,0.007327,0.007327
29,9363.51,1.40268,0.59254,1.23916,0.97839,0.98397,0.99038,0.61186,1.41562,0.49719,1.3006,0.007228,0.007228,0.007228
30,9659.11,1.39585,0.5882,1.23551,0.98326,0.98192,0.99038,0.612,1.41506,0.49488,1.29393,0.007129,0.007129,0.007129
31,9955.21,1.3966,0.58667,1.23313,0.98636,0.97444,0.99029,0.6131,1.42378,0.49417,1.29417,0.00703,0.00703,0.00703
32,10251.2,1.40063,0.58603,1.23616,0.98774,0.98336,0.99063,0.61874,1.4193,0.48887,1.3015,0.006931,0.006931,0.006931
33,10546.5,1.3825,0.57709,1.23156,0.98318,0.98189,0.9904,0.61541,1.42608,0.48445,1.30145,0.006832,0.006832,0.006832
34,10842.2,1.38483,0.57889,1.22724,0.9778,0.9809,0.98954,0.62017,1.41529,0.48286,1.29947,0.006733,0.006733,0.006733
35,11139.2,1.37385,0.5762,1.22337,0.98129,0.98188,0.98992,0.61805,1.41411,0.48186,1.29392,0.006634,0.006634,0.006634
36,11435.4,1.37223,0.57152,1.22279,0.98566,0.97997,0.98957,0.61757,1.41445,0.47874,1.29202,0.006535,0.006535,0.006535
37,11731.5,1.37395,0.56939,1.21763,0.98508,0.98047,0.98986,0.61677,1.4096,0.47871,1.29326,0.006436,0.006436,0.006436
38,12027.6,1.3688,0.56688,1.22038,0.98249,0.98341,0.99122,0.62128,1.41324,0.48083,1.2939,0.006337,0.006337,0.006337
39,12322.8,1.36135,0.56086,1.21542,0.98141,0.98337,0.99057,0.62409,1.40643,0.47385,1.28811,0.006238,0.006238,0.006238
40,12618.8,1.3632,0.56351,1.20935,0.98435,0.97492,0.99032,0.62421,1.41107,0.47596,1.28847,0.006139,0.006139,0.006139
41,12914.4,1.3571,0.55548,1.21242,0.97751,0.9859,0.99003,0.62272,1.4081,0.47119,1.29,0.00604,0.00604,0.00604
42,13210.7,1.36735,0.56074,1.21655,0.98699,0.97524,0.99047,0.62424,1.40661,0.46822,1.29164,0.005941,0.005941,0.005941
43,13507.4,1.35797,0.55034,1.21327,0.97565,0.98407,0.99057,0.62464,1.40727,0.46791,1.29097,0.005842,0.005842,0.005842
44,13803.5,1.35319,0.55014,1.21432,0.98577,0.97588,0.98996,0.62617,1.40654,0.46626,1.2945,0.005743,0.005743,0.005743
45,14099,1.35032,0.55016,1.21397,0.98315,0.98267,0.98986,0.62515,1.40121,0.46482,1.29443,0.005644,0.005644,0.005644
46,14393.8,1.35142,0.54808,1.21159,0.98425,0.98208,0.99006,0.62514,1.40028,0.46506,1.28866,0.005545,0.005545,0.005545
