epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8545,1.02286,2.20987,0.96935,0.7881,0.3779,0.47068,0.34188,0.8476,0.81055,0.88888,0.00332728,0.00332728,0.00332728
2,168.229,0.96676,1.22076,0.94851,0.78047,0.64001,0.68158,0.47256,0.86874,0.72159,0.90816,0.00666021,0.00666021,0.00666021
3,237.727,1.01793,1.11808,0.97752,0.71422,0.54017,0.61544,0.38774,0.98498,0.84465,0.97012,0.00999151,0.00999151,0.00999151
4,306.578,1.03871,0.98359,0.9962,0.80598,0.70563,0.78764,0.53291,0.87415,0.70742,0.93926,0.0099945,0.0099945,0.0099945
5,375.473,0.99338,0.8086,0.98968,0.88761,0.66952,0.80376,0.56771,0.83943,0.61956,0.92698,0.00999023,0.00999023,0.00999023
6,444.547,0.9634,0.7226,0.97541,0.9081,0.68542,0.84128,0.60407,0.8094,0.57113,0.91937,0.00998474,0.00998474,0.00998474
7,512.765,0.93183,0.66386,0.9649,0.83399,0.75789,0.83382,0.58708,0.83147,0.54116,0.92263,0.00997803,0.00997803,0.00997803
8,581.394,0.91686,0.63122,0.96308,0.87392,0.79355,0.86446,0.60831,0.80526,0.53352,0.91704,0.00997011,0.00997011,0.00997011
9,650.408,0.90296,0.6001,0.95485,0.87186,0.77508,0.86118,0.62142,0.76507,0.47427,0.90573,0.00996097,0.00996097,0.00996097
10,719.035,0.88303,0.57863,0.94496,0.85595,0.80678,0.86172,0.64023,0.75371,0.47072,0.8939,0.00995062,0.00995062,0.00995062
11,787.883,0.86725,0.56889,0.94392,0.90607,0.83476,0.89436,0.66397,0.73881,0.45314,0.89181,0.00993906,0.00993906,0.00993906
12,857.518,0.85938,0.55916,0.93871,0.90667,0.83098,0.8873,0.66613,0.74319,0.4579,0.8933,0.00992629,0.00992629,0.00992629
13,926.908,0.84984,0.54502,0.93639,0.84053,0.85031,0.90554,0.68428,0.72373,0.44933,0.88866,0.00991232,0.00991232,0.00991232
14,995.504,0.84174,0.53624,0.93567,0.9477,0.82294,0.90497,0.66144,0.72903,0.43148,0.89141,0.00989715,0.00989715,0.00989715
15,1065.27,0.83349,0.52292,0.936,0.95801,0.82158,0.9086,0.69209,0.71916,0.42929,0.88866,0.00988079,0.00988079,0.00988079
16,1134.39,0.82209,0.51428,0.93097,0.94388,0.85638,0.91699,0.70744,0.69804,0.41132,0.88412,0.00986323,0.00986323,0.00986323
17,1203.42,0.81738,0.50456,0.92594,0.93746,0.84271,0.90974,0.70239,0.69181,0.39992,0.88133,0.00984449,0.00984449,0.00984449
18,1272.89,0.8124,0.50139,0.92462,0.93992,0.86302,0.92276,0.70536,0.6923,0.40362,0.87775,0.00982456,0.00982456,0.00982456
19,1342.1,0.80364,0.49385,0.92241,0.94098,0.88173,0.92514,0.70232,0.67702,0.38921,0.87611,0.00980345,0.00980345,0.00980345
20,1410.94,0.79474,0.48577,0.92014,0.97019,0.84833,0.92749,0.701,0.67738,0.3863,0.87349,0.00978118,0.00978118,0.00978118
21,1480.68,0.79801,0.48454,0.92388,0.95959,0.8464,0.91912,0.70221,0.66912,0.38223,0.87017,0.00975773,0.00975773,0.00975773
22,1549.61,0.79189,0.4831,0.92262,0.94174,0.85918,0.93146,0.71538,0.65551,0.37022,0.87094,0.00973312,0.00973312,0.00973312
23,1618.48,0.7864,0.47718,0.92006,0.94423,0.89808,0.94162,0.71807,0.65796,0.36952,0.86634,0.00970736,0.00970736,0.00970736
24,1687.71,0.78178,0.47218,0.91635,0.94417,0.8989,0.94766,0.73006,0.65813,0.36403,0.86693,0.00968045,0.00968045,0.00968045
25,1757.31,0.77966,0.47239,0.91544,0.95227,0.89995,0.93953,0.72708,0.6513,0.36209,0.8653,0.00965239,0.00965239,0.00965239
26,1826.85,0.77776,0.46614,0.91513,0.96571,0.87294,0.93259,0.72146,0.64592,0.36061,0.86356,0.0096232,0.0096232,0.0096232
27,1896.15,0.77389,0.46529,0.91363,0.97216,0.87034,0.94096,0.72991,0.64799,0.35639,0.86464,0.00959289,0.00959289,0.00959289
28,1965.47,0.76905,0.45972,0.91134,0.96086,0.8934,0.9417,0.73574,0.64129,0.34629,0.86211,0.00956145,0.00956145,0.00956145
29,2035.18,0.76445,0.45969,0.90975,0.96912,0.8997,0.95343,0.7367,0.64804,0.35304,0.8639,0.00952889,0.00952889,0.00952889
30,2104.74,0.76472,0.4558,0.90987,0.96122,0.89266,0.94391,0.7378,0.64299,0.34761,0.86171,0.00949524,0.00949524,0.00949524
31,2174.04,0.75852,0.45022,0.90719,0.94518,0.90634,0.94428,0.73345,0.63309,0.34434,0.86016,0.00946048,0.00946048,0.00946048
32,2243.66,0.76048,0.45206,0.90666,0.95418,0.90468,0.94249,0.73769,0.63257,0.34341,0.85997,0.00942464,0.00942464,0.00942464
33,2313.01,0.76144,0.45133,0.90867,0.95531,0.91021,0.94727,0.73858,0.62021,0.33944,0.85435,0.00938772,0.00938772,0.00938772
34,2382.14,0.7592,0.44854,0.90784,0.95771,0.91369,0.94591,0.73814,0.62894,0.33622,0.85724,0.00934973,0.00934973,0.00934973
35,2452.01,0.75774,0.4448,0.90506,0.95839,0.90992,0.95117,0.75035,0.61876,0.33068,0.85565,0.00931067,0.00931067,0.00931067
36,2521.51,0.75146,0.43968,0.90638,0.93914,0.8995,0.94475,0.73117,0.62084,0.33275,0.85487,0.00927057,0.00927057,0.00927057
